,Player,Age,Nation,Position,Club,Birthday,Astrology,Foot,Height,Wage,youth_value,Game Value,TransferMarket Value,Game Rating,predicted_rate,Fotball Critic rating,FMyear,rate avg,ratio predicted,numeric position,numeric foot,value_rate,label,label value
214,Tomas Sandoval,21,Argentina,Strikers,Colón,3.0,Aries,Right,185,8000.0,1400000.0,978000.0,600000.0,78.0,69.0,68.0,2018.0,68.5,0.878205128205128,9,2,0.428571428571429,0,0
215,Alessandro Murgia,23,Paraguay,Central Midfielders,SPAL,8.0,Leo,Right,185,92000.0,3500000.0,2000000.0,1500000.0,81.0,73.0,62.0,2018.0,67.5,0.833333333333333,2,2,0.428571428571429,0,0
216,Sheyi Ojo,23,France,Left Wingers,Liverpool,6.0,Gemini,Left,186,132000.0,7000000.0,7000000.0,3000000.0,74.0,72.0,63.0,2018.0,67.5,0.912162162162162,6,1,0.428571428571429,0,0
217,Arianit Ferati,22,Croatia,Central Attacking Midfielders,Mannheim,9.0,Virgo,Left,168,8000.0,800000.0,45000.0,350000.0,75.0,71.0,68.0,2017.0,69.5,0.926666666666667,0,1,0.4375,0,0
218,Jason McCarthy,24,Uruguay,Central Defenders,Wycombe,11.0,Scorpio,Right,186,12000.0,800000.0,131000.0,350000.0,72.0,71.0,63.0,2015.0,67.0,0.930555555555556,1,2,0.4375,0,0
219,Lazar Markovic,26,Serbia,Left Wingers,Partizan,3.0,Pisces,Right,175,56000.0,5250000.0,757000.0,2300000.0,78.0,73.0,54.0,2014.0,63.5,0.814102564102564,6,2,0.438095238095238,0,0
220,Zach Clough,25,Sweden,Strikers,Wigan,3.0,Pisces,Right,170,12000.0,900000.0,133000.0,400000.0,81.0,71.0,68.0,2015.0,69.5,0.858024691358025,9,2,0.444444444444444,0,0
221,Rolando Aarons,24,Peru,Left Wingers,Huddersfield,11.0,Scorpio,Left,176,28000.0,900000.0,3000000.0,400000.0,73.0,71.0,99.0,2015.0,71.0,0.972602739726027,6,1,0.444444444444444,0,0
222,Nicolas Castillo,27,Chile,Strikers,América,2.0,Aquarius,Right,177,52000.0,4500000.0,2000000.0,2000000.0,78.0,74.0,46.0,2014.0,60.0,0.769230769230769,9,2,0.444444444444444,0,0
223,Ryan McLaughlin,25,Northern Ireland,Right Backs,Rochdale,9.0,Libra,Right,178,4000.0,450000.0,85000.0,200000.0,73.0,67.0,68.0,2015.0,67.5,0.924657534246575,7,2,0.444444444444444,0,0
224,Andre Green,22,Netherlands,Left Wingers,Sheff Wed,7.0,Leo,Right,181,16000.0,1800000.0,649000.0,800000.0,72.0,67.0,50.0,2018.0,58.5,0.8125,6,2,0.444444444444444,0,0
225,Elias Abouchabaka,20,Georgia,Central Attacking Midfielders,Vit. Guimarães,3.0,Aries,Left,184,12000.0,450000.0,458000.0,200000.0,85.0,71.0,68.0,2019.0,69.5,0.817647058823529,0,1,0.444444444444444,0,0
226,Tin Jedvaj,24,Spain,Central Defenders,Bayer 04,11.0,Sagittarius,Right,186,104000.0,6750000.0,3000000.0,3000000.0,77.0,75.0,99.0,2017.0,75.0,0.974025974025974,1,2,0.444444444444444,0,0
227,Hassane Bande,22,Switzerland,Left Wingers,NK Istra 1961,10.0,Scorpio,Either,178,24000.0,1900000.0,850000.0,850000.0,76.0,68.0,68.0,2019.0,68.0,0.894736842105263,6,0,0.447368421052632,0,0
228,Gil Dias,23,Portugal,Left Wingers,AS Monaco,9.0,Libra,Left,183,36000.0,6700000.0,4000000.0,3000000.0,74.0,73.0,69.0,2017.0,71.0,0.959459459459459,6,1,0.447761194029851,0,0
229,Alexy Bosetti,27,France,Strikers,Le Puy Foot 43,4.0,Taurus,Right,172,8000.0,725000.0,171000.0,325000.0,77.0,68.0,50.0,2014.0,59.0,0.766233766233766,9,2,0.448275862068966,0,0
230,Markus Henriksen,28,Norway,Defensive Midfielders,Rosenborg,7.0,Leo,Right,187,24000.0,2900000.0,2000000.0,1300000.0,76.0,72.0,60.0,2014.0,66.0,0.868421052631579,3,2,0.448275862068966,0,0
231,Vasilije Janjicic,22,Scotland,Central Midfielders,Zürich,1.0,Capricorn,Right,180,12000.0,2000000.0,432000.0,900000.0,77.0,69.0,43.0,2019.0,56.0,0.727272727272727,2,2,0.45,0,0
232,Gianluca Gaudino,23,Spain,Central Midfielders,Young Boys,11.0,Scorpio,Right,175,20000.0,1100000.0,829000.0,500000.0,77.0,73.0,68.0,2016.0,70.5,0.915584415584416,2,2,0.454545454545455,0,0
233,Edoardo Bianchi,21,Portugal,Central Defenders,Viterbese,4.0,Taurus,Left,180,12000.0,110000.0,37000.0,50000.0,70.0,61.0,99.0,2017.0,61.0,0.871428571428571,1,1,0.454545454545455,0,0
234,Saido Berahino,26,England,Strikers,Zulte Waregem,8.0,Leo,Right,180,24000.0,3300000.0,2000000.0,1500000.0,73.0,77.0,42.0,2014.0,59.5,0.815068493150685,9,2,0.454545454545455,0,0
235,Claud Adjapong,22,Morocco,Right Backs,Sassuolo,5.0,Taurus,Right,180,28000.0,4400000.0,3000000.0,2000000.0,78.0,73.0,60.0,2019.0,66.5,0.852564102564103,7,2,0.454545454545455,0,0
236,Agustin Allione,25,England,Right Wingers,Free Transfer,10.0,Scorpio,Right,170,132000.0,1200000.0,550000.0,550000.0,77.0,74.0,48.0,2015.0,61.0,0.792207792207792,8,2,0.458333333333333,0,0
237,Giovanni Troupee,22,Italy,Right Backs,FC Utrecht,3.0,Pisces,Right,181,8000.0,1300000.0,702000.0,600000.0,76.0,71.0,48.0,2018.0,59.5,0.782894736842105,7,2,0.461538461538462,0,0
238,Jose Devecchi,25,Portugal,Goalkeepers,San Lorenzo,7.0,Cancer,Right,190,20000.0,650000.0,727000.0,300000.0,78.0,73.0,68.0,2015.0,70.5,0.903846153846154,4,2,0.461538461538462,0,0
239,Godfred Donsah,24,France,Central Midfielders,Bologna,6.0,Gemini,Right,175,112000.0,4300000.0,2000000.0,2000000.0,79.0,72.0,64.0,2017.0,68.0,0.860759493670886,2,2,0.465116279069767,0,0
240,Jordan Rossiter,23,Spain,Central Midfielders,Fleetwood,3.0,Aries,Right,173,8000.0,750000.0,174000.0,350000.0,78.0,70.0,68.0,2015.0,69.0,0.884615384615385,2,2,0.466666666666667,0,0
241,Jordan Rossiter,23,Guinea,Defensive Midfielders,Fleetwood,3.0,Aries,Right,173,8000.0,750000.0,174000.0,350000.0,79.0,70.0,68.0,2017.0,69.0,0.873417721518987,3,2,0.466666666666667,0,0
242,Uffe Bech,27,Denmark,Left Wingers,Panathinaikos,1.0,Capricorn,Left,170,16000.0,425000.0,433000.0,200000.0,71.0,72.0,68.0,2014.0,70.0,0.985915492957746,6,1,0.470588235294118,0,0
243,Valeriy Luchkevych,25,Italy,Right Backs, FK Oleksandriya,1.0,Capricorn,Either,176,36000.0,1700000.0,800000.0,800000.0,77.0,68.0,68.0,2016.0,68.0,0.883116883116883,7,0,0.470588235294118,0,0
